LocalityID,MicroMarketID,CityID,LocalityName,Pincode
1,14,1,Sector 1,122017
2,14,1,Sector 2,122017
3,14,1,Sector 3,122006
4,14,1,Sector 4,122001
5,14,1,Sector 5,122001
6,14,1,Sector 6,122006
7,14,1,Sector 7,122001
8,14,1,Sector 8,122051
9,14,1,Sector 9,122001
10,14,1,Sector 9A,122001
11,14,1,Sector 9B,122001
12,14,1,Sector 10,122001
13,14,1,Sector 10A,122018
14,14,1,Sector 11,122022
15,14,1,Sector 12,122022
16,14,1,Sector 12A,122022
17,14,1,Sector 13,122022
18,14,1,Sector 14,122007
19,14,1,Sector 15,122001
20,14,1,Sector 16,122022
21,14,1,Sector 17,122001
22,14,1,Sector 18,122015
23,14,1,Sector 19,122016
24,14,1,Sector 20,122001
25,14,1,Sector 21,122016
26,14,1,Sector 22,122015
27,14,1,Sector 23,122017
28,14,1,Sector 23A,122017
29,14,1,Sector 24,
30,14,1,Sector 25,122002
31,3,1,Sector 26,122002
32,3,1,Sector 26A,122002
33,14,1,Sector 27,122009
34,14,1,Sector 28,122002
35,14,1,Sector 29,122002
36,14,1,Sector 30,122001
37,14,1,Sector 31,122001
38,14,1,Sector 32,122003
39,4,1,Sector 33,122003
40,8,1,Sector 34,122004
41,8,1,Sector 35,122004
42,14,1,Sector 36,122004
43,267,1,Sector 36A,122004
44,267,1,Sector 36B,122004
45,267,1,Sector 37,122004
46,267,1,Sector 37A,122004
47,14,1,Sector 37B,122004
48,267,1,Sector 37C,
49,267,1,Sector 37D,
50,4,1,Sector 38,122022
51,14,1,Sector 39,122022
52,14,1,Sector 40,122001
53,14,1,Sector 41,122011
54,3,1,Sector 42,122002
55,3,1,Sector 43,122009
56,14,1,Sector 44,122002
57,14,1,Sector 45,122003
58,14,1,Sector 46,122022
59,4,1,Sector 47,122018
60,4,1,Sector 48,122018
61,4,1,Sector 49,122018
62,14,1,Sector 50,122018
63,14,1,Sector 51,122018
64,14,1,Sector 52,122003
65,3,1,Sector 53,122022
66,3,1,Sector 54,122003
67,5,1,Sector 55,122011
68,5,1,Sector 56,121004
69,14,1,Sector 57,122011
70,5,1,Sector 58,122011
71,5,1,Sector 59,122011
72,5,1,Sector 60,122011
73,5,1,Sector 61,122011
74,5,1,Sector 62,122413
75,5,1,Sector 63,122001
76,5,1,Sector 64,122102
77,5,1,Sector 65,122102
78,5,1,Sector 66,122001
79,5,1,Sector 67,122102
80,5,1,Sector 67A,
81,4,1,Sector 68,122018
82,8,1,Sector 69,122101
83,8,1,Sector 70,122103
84,8,1,Sector 70A,122001
85,8,1,Sector 71,122001
86,8,1,Sector 72,
87,8,1,Sector 73,122004
88,8,1,Sector 74,122001
89,8,1,Sector 74A,122004
90,8,1,Sector 75,122103
91,8,1,Sector 75A,122001
92,266,1,Sector 76,122004
93,266,1,Sector 77,122004
94,266,1,Sector 78,122001
95,266,1,Sector 79,122001
96,266,1,Sector 79A,122001
97,266,1,Sector 80,122051
98,266,1,Sector 81,122004
99,266,1,Sector 81A,122001
100,266,1,Sector 82,122012
101,267,1,Sector 82A,
102,267,1,Sector 83,122004
103,267,1,Sector 84,122004
104,266,1,Sector 85,122004
105,266,1,Sector 86,122004
106,266,1,Sector 87,122505
107,267,1,Sector 88,122004
108,267,1,Sector 88A,
109,267,1,Sector 88B,
110,266,1,Sector 89,
111,266,1,Sector 89A,
112,266,1,Sector 89B,122004
113,266,1,Sector 90,122505
114,266,1,Sector 91,122001
115,266,1,Sector 92,122505
116,266,1,Sector 93,122505
117,266,1,Sector 94,122505
118,266,1,Sector 95,
119,266,1,Sector 95A,122505
120,266,1,Sector 95B,122505
121,266,1,Sector 96,122503
122,266,1,Sector 97,122505
123,266,1,Sector 98,122505
124,267,1,Sector 99,
125,267,1,Sector 99A,122001
126,267,1,Sector 100,122002
127,267,1,Sector 101,122506
128,267,1,Sector 102,
129,267,1,Sector 102A,122001
130,267,1,Sector 103,
131,267,1,Sector 104,122006
132,267,1,Sector 105,
133,267,1,Sector 106,122006
