MicroMarketID,CityID,MicroMarketName
3,1,Golf Course Road
4,1,Sohna Road
5,1,Golf Course Extension
8,1,Southern Peripheral Road
14,1,Central Gurgaon
17,3,Badkhal SurajKund
26,4,Noida Central
34,11,Bhiwadi Central
36,3,Faridabad North
37,3,Neharpar Phase 1
38,3,Neharpar Phase 2
39,3,Faridabad South
40,3,NIT Area
41,3,Faridabad Central
51,1,Sohna
53,37,Yamuna Expressway
73,62,Neemrana Central
74,10,Central Bangalore
79,12,Pimpri Chinchwad PCMC
90,12,Pune South
100,13,Mumbai South
102,13,Mumbai Harbour
128,15,Central Zone
129,15,West Zone
130,15,North Zone
131,15,South Zone
132,15,East Zone
133,15,Secunderabad
138,16,SG Highway
139,16,Ahmedabad North
140,16,Ahmedabad East
141,16,Ahmedabad South
143,16,Ahmedabad Central
144,16,Gandhinagar
145,16,Sanand1
146,17,North Kolkata
148,17,South Kolkata
149,17,West Kolkata
150,17,East Kolkata
151,17,Central Kolkata
163,2,North Delhi
164,2,Dwarka
165,2,South Delhi
166,2,East Delhi
167,2,West Delhi
168,2,Central Delhi
169,10,North Bangalore
186,17,North Central
187,17,Kolkata Suburbs
188,17,Howrah
189,17,Hooghly
190,18,Lucknow North
191,18,Lucknow East
192,18,Lucknow West
193,18,Lucknow Central
194,18,Lucknow South
196,19,Chandigarh Sectors
197,19,Mullanpur
198,19,Mohali
199,19,Derabassi
200,19,Kharar
201,19,Panchkula
202,20,Dehradun Center
203,20,Dehradun East
204,20,Dehradun North
205,20,Dehradun South
206,20,Dehradun West
207,21,Bhubaneswar South
208,21,Bhubaneswar West
209,21,Bhubaneswar North
210,21,Bhubaneswar East
211,23,Rajkot East
212,23,Rajkot South
213,23,Rajkot West
214,23,Rajkot North
215,24,Bhopal North
216,24,Bhopal South
217,24,Bhopal West
218,24,Bhopal East
219,25,Guwahati East
220,25,Guwahati South
221,25,Guwahati North
222,25,Guwahati West
223,26,Patna West
224,26,Patna East
225,26,Patna North
226,26,Patna South
227,27,Jaipur East
228,27,Jaipur South
229,27,Jaipur West
230,27,Jaipur North
231,27,Jaipur Central
232,28,Varanasi West
233,28,Varanasi Central
234,28,Varanasi East
235,28,Varanasi North
236,28,Varanasi South
237,22,Goa North
238,22,Goa Central
239,22,Goa South
240,29,Vizag Central
241,29,Vizag South
242,29,Vizag North
243,30,Vijayawada West
244,30,Vijayawada Central
245,30,Vijayawada East
246,31,Bareilly North
247,31,Bareilly East
248,31,Bareilly West
249,31,Bareilly South
250,32,Meerut North
251,32,Meerut East
252,32,Meerut West
253,32,Meerut South
254,33,Allahabad East
255,33,Allahabad North
256,33,Allahabad South
257,33,Allahabad West
258,34,Agra North
259,34,Agra South
260,34,Agra West
261,34,Agra Central
262,34,Agra East
263,10,East Bangalore
264,10,West Bangalore
265,10,South Bangalore
266,1,New Gurgaon
267,1,Dwarka Expressway
268,4,Noida Expressway
270,13,Mumbai Central Suburbs
271,13,Mumbai Western Suburbs
272,12,Pune Central
273,12,Pune East
274,12,Pune West
277,37,Greater Noida West
292,39,CBD Belapur
293,39,Airoli
294,39,Vashi
295,39,Panvel
296,39,Raigad
297,38,Thane City
298,38,Kalyan
300,40,Panipat Central
301,40,Panipat East
302,40,Panipat North
303,40,Panipat South
304,40,Panipat West
305,41,Sonipat Central
306,41,Sonipat East
307,41,Sonipat North
308,41,Sonipat South
309,41,Sonipat West
310,42,Alwar Central
312,44,Nagpur Central
313,45,Hosur Cent
314,46,Bahadurgarh Central
315,47,Rohtak Central
316,48,Jhajjar Central
317,49,Karnal Central
318,50,Yamuna Nagar Central
319,51,Coimbatore East
320,52,Kochi East
321,55,Warangal Central
322,54,Wayanad Central
323,53,Vellore Central
325,56,Bathinda Central
326,57,Gwalior Central
327,58,Bikaner Central
328,59,Lonavla Central
329,60,Tumkur Central
330,61,Vadodara East
331,63,Kurukshetra Central
332,64,Ambala Central
333,65,Manesar Central
334,38,Dombivli
335,38,Badlapur
336,38,Bhiwandi
337,1,Manesar
338,44,Nagpur West
339,44,Nagpur East
340,44,Nagpur South
341,44,Nagpur North
373,75,Zirakpur East
374,75,Zirakpur West
375,75,Zirakpur North
376,75,Zirakpur South
395,14,Chennai North
396,14,Chennai South
397,14,Chennai Central
398,14,Chennai West
404,76,Kanpur Central
405,77,Surat East
406,77,Surat West
407,77,Surat North
408,77,Surat South
409,52,Kochi North
410,52,Kochi South
411,78,Indore East
412,78,Indore West
413,78,Indore North
414,78,Indore South
415,51,Coimbatore West
416,51,Coimbatore North
417,51,Coimbatore South
418,79,Nashik East
419,79,Nashik West
420,79,Nashik North
421,79,Nashik South
422,61,Vadodara West
423,61,Vadodara North
424,61,Vadodara South
425,80,Nuh City
426,81,Palwal City
427,38,Mira Bhayandar
428,82,Palghar City
429,83,Ratnagiri City
430,37,Greater Noida East
431,37,Dadri
432,82,Vasai Virar
433,82,Dahanu
434,84,Hapur City
435,9,Ghaziabad City
436,9,Modi Nagar
437,9,Loni
438,85,Yadagirigutta City
439,86,Sadashivpet City
440,87,Raikal City
441,88,Hanamkonda City
443,90,Kamareddy City
444,91,Karimnagar City
445,92,Khammam City
446,93,Kodad City
447,94,Medak City
448,95,Nagarkurnool City
450,97,Ramayampet City
451,98,Siddipet City
453,100,Vikarabad City
454,101,Jadcherla City
456,103,Mahbubnagar City
457,104,Jangaon City
458,105,Alair City
459,106,Zahirabad City
460,107,Kohir City
461,108,Wanaparthy City
462,109,Sathupally City
463,110,Suryapet City
464,111,Jogipet City
465,112,Devarakonda City
466,113,Palwancha City
467,114,Pebbair City
468,115,Kagaznagar City
469,116,Adilabad City
470,117,Nalgonda City
471,118,Narayankhed City
472,119,Makthal City
473,120,Husnabad City
474,121,Peddapalli City
475,122,Gajwel City
476,123,Lingal City
477,124,Miryalaguda City
478,125,Ramagundam City
479,126,Ahmednagar City
480,127,Ajmer City
481,128,Aligarh City
482,129,Almora City
483,130,Amravati City
484,131,Amritsar City
485,132,Aurangabad City
486,133,Bardhaman City
487,134,Belagavi City
488,135,Bilaspur City
489,136,Birbhum City
490,137,Cuttack City
491,138,Dakshina Kannada City
492,139,Daman and Diu City
493,140,Dhanbad City
494,141,Dharwad City
495,142,Durg City
496,143,East Godavari City
497,144,East Singhbhum City
498,145,Gandhinagar City
499,146,Guntur City
500,147,Haridwar City
501,148,Hisar City
502,149,Jabalpur City
503,150,Jalandhar City
504,151,Jodhpur City
505,152,Kamrup City
506,153,Kanpur Nagar City
507,154,Khordha City
508,155,Kolhapur City
509,156,Kota City
510,157,Kozhikode City
511,158,Krishna City
512,159,Kottayam City
513,160,Ludhiana City
514,161,Madurai City
515,162,Mathura City
516,163,Mehsana City
517,164,Moradabad City
518,165,Mysore City
519,166,Nainital City
520,167,Nellore City
521,168,Nilgiris City
522,169,Palakkad City
523,170,Patiala City
524,171,Pondicherry City
525,172,Purnia City
526,173,Raipur City
527,174,Ranchi City
528,175,Rewari City
529,176,Salem City
530,177,Satara City
531,178,Shahjahanpur City
532,179,Shimla City
533,180,Sirsa City
534,181,Solapur City
535,182,Thrissur City
536,183,Thiruvananthapuram City
537,184,Udaipur City
538,185,Udham Singh Nagar City
539,186,Ujjain City
540,187,Valsad City
541,188,Vizianagaram City
542,189,Trichy City
543,190,Muzaffarpur City
544,191,Mangalore City
545,192,Jamshedpur City
546,193,Hubli City
547,194,Akola City
548,195,Bharuch City
549,196,Katni City
550,197,Shillong City
551,198,Srinagar City
552,199,Panchkula City
553,200,Jammu City
554,201,Mohali City
555,202,Aizawl City
556,203,Kohima City
557,204,Jamnagar City
558,205,Kharagpur City
559,206,Anand City
560,207,Bhagalpur City
561,208,Bhuj City
562,209,Bokaro Steel City
563,210,Chapra City
564,211,Darbhanga City
565,212,Diu City
566,213,Gandhidham City
567,214,Gaya City
568,215,Godhra City
569,216,Jorhat City
570,217,Junagadh City
571,218,Kakinada City
572,219,Mahuva City
573,220,Morbi City
574,221,Motihari City
575,222,Munger City
576,223,Nadiad City
577,224,Nizamabad City
578,225,Ongole City
579,226,Porbandar City
580,227,PortBlair City
581,228,Raj Nandgaon City
582,229,Rajahmundry City
583,230,Tirupati City
584,231,Deoghar City
585,232,Dhule City
586,233,Gudur City
587,234,Gulbarga City
588,235,Guntakal City
589,236,Jagtial City
590,237,Jalgaon City
591,238,Nanded City
592,239,Osmanabad City
593,240,Raichur City
594,241,Raigad City
595,242,Shimoga City
596,243,Bhilwara City
597,244,Kullu City
598,245,Barabanki City
599,246,Kanyakumari City
600,247,Anantapur City
601,248,Chittoor City
602,249,Kurnool City
603,250,Srikakulam City
604,251,Bongaigaon City
605,252,Bhilai City
606,253,Korba City
607,254,Amreli City
608,255,Bhavnagar City
609,256,Navsari City
610,257,Patan City
611,258,Surendranagar City
612,259,Hazaribag City
613,260,Bagalkot City
614,261,Bijapur City
615,262,Chikmagalur City
616,263,Chitradurga City
617,264,Gadag City
618,265,Hassan City
619,266,Kolar City
620,267,Mandya City
621,268,Udupi City
622,269,Alappuzha City
623,270,Kannur City
624,271,Kasaragod City
625,272,Kollam City
626,273,Malappuram City
627,274,Dewas City
628,275,Hoshangabad City
629,276,Rewa City
630,277,Satna City
631,278,Sehore City
632,279,Bhandara City
633,280,Chandrapur City
634,281,Latur City
635,282,Sangli City
636,283,Wardha City
637,284,Jharsuguda City
638,285,Kendujhar City
639,286,Puri City
640,287,Rourkela City
641,288,Sambalpur City
642,289,Barnala City
643,290,Hoshiarpur City
644,291,Banswara City
645,292,Baran City
646,293,Barmer City
647,294,Beawar City
648,295,Bundi City
649,296,Churu City
650,297,Jaisalmer City
651,298,Jhunjhunu City
652,299,Pali City
653,300,Rajgarh City
654,301,Rajsamand City
655,302,Sikar City
656,303,Tonk City
657,304,Cuddalore City
658,305,Dindigul City
659,306,Erode City
660,307,Kanchipuram City
661,308,Karur City
662,309,Namakkal City
663,310,Ooty City
664,311,Pudukkottai City
665,312,Thanjavur City
666,313,Thoothukudi City
667,314,Tirunelveli City
668,315,Tirupur City
669,316,Tiruvannamalai City
670,317,Viluppuram City
671,318,Bulandshahr City
672,319,Faizabad City
673,320,Gorakhpur City
674,321,Jhansi City
675,322,Kannauj City
676,323,Muzaffarnagar City
677,324,Unnao City
678,325,Hardwar City
679,326,Roorkee City
680,327,Rudrapur City
681,69,Asansol City
682,328,Bankura City
683,329,Darjeeling City
684,330,Durgapur City
685,331,Jalpaiguri City
686,332,Siliguri City
